cargo;empresa;cidade;nivel;area
Estágio Comercial;Grupo Promex Mais;São Paulo / SP;Estágio;vendas
Consultor Comercial;Inspirali;São Paulo / SP;Júnior/Trainee;vendas
Auxiliar Comercial;Inspirali;Cubatão / SP;Auxiliar/Operacional;vendas
Analista Comercial;Confidencial;Piracicaba / SP;Júnior/Trainee;vendas
Gerente Comercial;Pacaembu Construtora;Ponta Grossa / PR;Estágio;vendas
Engenheiro - Comercial;Confidencial;Rio de Janeiro / RJ;Pleno;vendas
Analista Comercial Junior;ArcelorMittal;São Paulo / SP;Júnior/Trainee;vendas
Consultor Comercial;Grupo Prestarh;Belo Horizonte / MG;Sênior;vendas
Analista Comercial Jr;Vetnil;Louveira / SP;Júnior/Trainee;vendas
Assistente Comercial;AS BUSINESS;Barueri / SP;Auxiliar/Operacional;vendas
Analista Comercial Jr;Grupo JCA;São Paulo / SP;Júnior/Trainee;vendas
Executivo Comercial;Confidencial;Não informado;Gerência;vendas
Atendente Comercial;Confidencial;Localização não informada;Auxiliar/Operacional;vendas
Consultor Comercial;Inspirali;São Paulo / SP;Júnior/Trainee;vendas
Consultor Comercial;Confidencial;São Paulo / SP;Auxiliar/Operacional;vendas
Representante Comercial;Confidencial;São Paulo / SP;Auxiliar/Operacional;vendas
Supervisor de Varejo;DHL Express;Brasília / DF;Supervisão/Coordenação;vendas
Atendente Comercial;Grupo Águas do Brasil;Campos dos Goytacazes / RJ;Auxiliar/Operacional;vendas
Atendente Comercial;Parceria Consultoria;Barra Mansa / RJ;Auxiliar/Operacional;vendas
Auxiliar Comercial;Inspirali;São Paulo / SP;Auxiliar/Operacional;vendas
Supervisor Administrativo Comercial - Backoffice Comercial;BR Talent;São Paulo / SP;Supervisão/Coordenação;vendas
Pessoa Coordenadora Comercial;ALLOS;Belém / PA;Supervisão/Coordenação;vendas
Desenvolvedor Comercial Alcoólicos;Coca-Cola FEMSA;Betim / MG;Júnior/Trainee;vendas
Representante Comercial Imobiliário - Júnior;NV Imob;São Paulo / SP;Auxiliar/Operacional;vendas
Tecnico Comercial de Seguros II;PAMCARY;São Paulo / SP;Auxiliar/Operacional;vendas
Coordenador(a) Comercial Atendimento;Aventura;São Paulo / SP;Supervisão/Coordenação;vendas
11193 - Consultor Comercial (Hunter);Talent Group;São Paulo / SP;Pleno;vendas
Coordenador de Controladoria e Contabilidade;The Adecco Group;São Paulo / SP;Supervisão/Coordenação;financeiro
Assistente de Finanças e Contabilidade;Fundação Getulio Vargas;Rio de Janeiro / RJ;Auxiliar/Operacional;financeiro
Gerente de Controladoria e Finanças;Reggiani Hunting;Belo Horizonte / MG;Gerência;financeiro
Fiscal;AFOCAPI;Araras / SP;Auxiliar/Operacional;financeiro
Gerente de Controladoria e Finanças (Controller);Grupo Valure;Brasília / DF;Gerência;financeiro
Analista Fiscal;Confidencial;Rio de Janeiro / RJ;Pleno;financeiro
Analista Financeiro;J&T Express;Salvador / BA;Sênior;financeiro
Analista Fiscal Júnior;OSKLEN;Rio de Janeiro / RJ;Júnior/Trainee;financeiro
Especialista de Controladoria;Abapa - Associação Baiana dos Produtores de Algodão;Luís Eduardo Magalhães / BA;Sênior;financeiro
Diretor/a de Controladoria;Confidencial;São Paulo / SP;Diretoria;financeiro
Especialista em Controladoria;Confidencial;Rio de Janeiro / RJ;Supervisão/Coordenação;financeiro
Gerente Fiscal;Confidencial;Não informado;Gerência;financeiro
Gerente de Controladoria;Confidencial;Não informado;Gerência;financeiro
Analista Fiscal Júnior;AMAGGI;Cuiabá / MT;Júnior/Trainee;financeiro
Trainee - Financeiro;Alliança Recursos Humanos;Caçapava / SP;Júnior/Trainee;financeiro
